Kod;Produktgrupp;Artikelnr;RSK-nr;Benämning;Rabatt;Rabatt2;NtoPris;ArtRabatt
V;306922;;;Potentialutjämningsmtr ABB;63,35;;;;
V;306926;;;Skyltar III Hammarprodukter;60,09;;;;
V;306928;;;Stag & najningsmateriel Wibe SO;38,91;;;;
V;306930;;;Pot.utj Eldon;77,44;;;;
V;306932;;;Potentialutjämningsmtr Ensto;58,87;;;;
V;306936;;;Skyltar Hammarprodukter;65,28;;;;
V;306990;;;Solar Plus Potentialutj.;50,00;;;;
V;306991;;;Solar Plus Najtråd och Rör;50,00;;;;
V;306992;;;Plus;50,00;;;;
V;306994;;;Solar Netto;50,00;;;;
V;306995;;;Solar Plus Kabelskydd;50,00;;;;
V;307100;;;Anslutningsdon ABB;53,68;;;;
V;307102;;;Brytare Elkopplare ABB;53,56;;;;
V;307104;;;Fördelningscentraler ABB;54,22;;;;
V;307106;;;Tbh Kabelskåp ABB;54,67;;;;
V;307108;;;Säkringslastbrytare ABB;52,13;;;;
V;307120;;;Tejp Aerosoler Kabeldon;64,38;;;;
V;307122;;;Kabelskåp - Fundament Kabeldon;56,00;;;;
V;307140;;;Säkringslastbrytarre ABB;51,09;;;;
V;307200;;;Kabelskarvar Melbye;57,35;;;;
V;307202;;;Krympslang Melbye;65,59;;;;
V;307203;;;Övergång Melbye;43,16;;;;
V;307300;;;Tejp Nitto;68,00;;;;
V;307303;;;Tesa I;58,32;;;;
V;307305;;;Tesa II;55,10;;;;
V;307350;;;Kabelskåp Garo;70,50;;;;
V;307352;;;Kabelskåp tillbehör Garo;69,00;;;;
V;307400;;;Tejp/Aerosoler 3M;65,50;;;;
V;307402;;;Kabelskarvar 3M;54,38;;;;
V;307500;;;Markskåp C3 Connect;51,36;;;;
V;307502;;;Markskåp C3 Connect Telia;47,89;;;;
V;307600;;;PV-Slang;75,29;;;;
V;307601;;;HF-Slang Hellermann Tyton;74,49;;;;
V;307602;;;Krympslang Hellermann;69,18;;;;
V;307604;;;Kabelskarvar Hellermann;58,03;;;;
V;307650;;;Kabelskarvar Elpress;55,43;;;;
V;307750;;;E-Mobility skåp Garo;67,00;;;;
V;307904;;;Krympslang Tykoflex;31,22;;;;
V;307908;;;Krympslang Nelco;66,81;;;;
V;307910;;;Tejp Eurocol;64,39;;;;
V;307920;;;Kabelskåp Ensto;58,70;;;;
V;307930;;;Kabelskåpsstolpar;17,93;;;;
V;307950;;;Anslutningsdon  NKT Cables HV;51,41;;;;
V;307951;;;Tillbehör Kabelskåp NKT Cables HV;46,00;;;;
V;307952;;;Skarvsatser NKT Cables HV;53,00;;;;
V;307994;;;Solar Netto;50,00;;;;
V;307995;;;Solar Plus;50,00;;;;
V;308100;;;Kabelskor Oisolerade Elpress;73,12;;;;
V;308102;;;Kabelskor Al/Cu Elpress;68,80;;;;
V;308104;;;Kabelskor Isolerade Elpress;78,70;;;;
V;308106;;;Kontaktpressning Elpress;66,53;;;;
V;308108;;;Verktyg Elpress;56,10;;;;
V;308200;;;Ändhylsor/Scotchlok;61,85;;;;
V;308300;;;Ändhylsa P150 Weidm;64,29;;;;
V;308302;;;Handverktyg W800 Weidm;49,34;;;;
V;308400;;;Kabelskor Isolerade Nelco;65,62;;;;
V;308402;;;Kabelskor Oisolerade Nelco;65,84;;;;
V;308404;;;Kabelskor Al/Cu Nelco;59,48;;;;
V;308406;;;Kontaktpressning Nelco;61,52;;;;
V;308408;;;Pressverktyg Nelco;60,98;;;;
V;308500;;;Kabelskor medTbh Melbye;63,48;;;;
V;308550;;;Kabelskor Phönix;45,80;;;;
V;308551;;;Kabelskor AE Phoenix;11,39;;;;
V;308552;;;Kabelskor AG Phoenix;25,32;;;;
V;308600;;;Ändhylsa/Märkning DZ5/AK2 VA =S=O;77,15;;;;
V;308800;;;Ändhylsor SOLAR;82,30;;;;
V;308850;;;Kabelskor NKT Cables HV;59,39;;;;
V;308994;;;Solar Netto;50,00;;;;
V;308995;;;Solar Plus;50,00;;;;
V;309100;;;Elmätare AX ABB;57,96;;;;
V;309104;;;Tillbehör elmätare (73-42) ABB;51,02;;;;
V;309200;;;Elmätare Eltako;60,56;;;;
V;309201;;;Energimätare DQ Omron;43,55;;;;
V;309270;;;Energimätare Wago;52,55;;;;
V;309300;;;Energimätare Garo;63,00;;;;
V;309500;;;Elmätare Hager;64,50;;;;
V;309600;;;Elmätare iEM UF =S=O;78,45;;;;
V;309602;;;Kombinationsinstrument PM UF =S=O;70,98;;;;
V;309710;;;Elmätare I 7KT SIE;50,70;;;;
V;309800;;;Elmätare 110 Carlo Gavazzi;50,00;;;;
V;309994;;;Solar Netto;50,00;;;;
V;309995;;;Solar Plus;50,00;;;;
V;311110;;;Defem tillbehör C1-C4 - Wibe SO;56,94;;;;
V;311112;;;Trådstegar C1 - Wibe D1;54,83;;;;
V;311114;;;Trådstegar C4 - Wibe MT;54,83;;;;
V;311122;;;Tbh Tas kanaler - Wibe IS;19,14;;;;
